""	"Prot"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"TUB3"	"TUB3"	4.45518667175486	8.85655808343519	21.9114157113921	1.96053825913633e-06	0.00480934360389589	5.33948031978432
"GPC1"	"GPC1"	3.54358991969391	9.55854508045242	19.0644291054205	4.08761990420222e-06	0.00480934360389589	4.90904489232404
"RSM26"	"RSM26"	-4.28917988743669	9.48462149400499	-17.833978085571	5.80838599504334e-06	0.00480934360389589	4.67939104871795
"SAS10"	"SAS10"	3.11185613907196	9.04475456626053	15.990983768163	1.03009826006338e-05	0.00597881071508956	4.17442824839495
"CYB2"	"CYB2"	-3.07880273751164	10.2837701755063	-15.5232842412344	1.20346431463155e-05	0.00597881071508956	4.05107703206297
"NIP1"	"NIP1"	-2.87012109819302	10.3173144994558	-13.8857029182097	2.15494486882406e-05	0.00714392666079147	3.60934123012377
"KAP120"	"KAP120"	2.64662305301779	9.9733195295499	13.6985469882988	2.31285706719235e-05	0.00714392666079147	3.50403999134864
"MRPL3"	"MRPL3"	-2.6158080971248	9.96076915489799	-13.6145372710021	2.3881694071525e-05	0.00714392666079147	3.48415483994357
"ERG26"	"ERG26"	-3.27629559481567	10.3296373289586	-13.4056325069032	2.58837922492444e-05	0.00714392666079147	3.40495354084522
"YJU3"	"YJU3"	2.72885627587894	9.43738879663938	13.0237062116012	3.00820537302006e-05	0.00745355305869101	3.30491867720073
"FOL2"	"FOL2"	-3.18717127513343	9.83608953204844	-12.5871344761279	3.59075819383738e-05	0.00745355305869101	3.13047867108086
"RVS161"	"RVS161"	-2.49661424738773	9.84150948862019	-12.580392733699	3.60075026989904e-05	0.00745355305869101	3.1273874463358
"SUI3"	"SUI3"	-2.77647730484829	9.66629855888349	-12.0779842055929	4.44723212823992e-05	0.00753378147572781	2.93760842036859
"FSF1"	"FSF1"	2.99729765070353	9.74463412357353	12.0061278220483	4.58666345588645e-05	0.00753378147572781	2.91654942995556
"PMT4"	"PMT4"	2.41517306712841	9.70310254027672	12.0063224075597	4.58627896389733e-05	0.00753378147572781	2.91181174067512
"MSF1"	"MSF1"	-2.71450605182749	9.89883784368242	-11.8759349162873	4.85267727905173e-05	0.00753378147572781	2.84942019607914
"NUP60"	"NUP60"	2.41410420378054	9.52544620220502	11.2489187726868	6.41998693963535e-05	0.00849729819949904	2.59400334122392
"TRS33"	"TRS33"	-2.56738740367368	9.37596648423686	-10.9790031239188	7.27468980750638e-05	0.00849729819949904	2.47624791323656
"KRI1"	"KRI1"	2.64797787488655	9.05026058511693	10.9708583765286	7.30250012096731e-05	0.00849729819949904	2.4757137744311
"SVP26"	"SVP26"	2.60536431213742	9.25970593319719	10.9489530230483	7.37792098311357e-05	0.00849729819949904	2.46513325559605
"KRE33"	"KRE33"	2.15400734620981	9.09523750100815	10.9164531710423	7.49151992401135e-05	0.00849729819949904	2.44849504976758
"TMT1"	"TMT1"	-2.32115162159916	9.62540173687593	-10.9050590276067	7.53183452772027e-05	0.00849729819949904	2.4407429149683
"GPD2"	"GPD2"	-2.99167912181822	10.5760106962145	-10.8128000358286	7.86786870323985e-05	0.00849729819949904	2.4021999196619
"UTH1"	"UTH1"	2.66664003375689	9.64926813837869	10.6331201615161	8.57450051139374e-05	0.00887460802929252	2.31641933626556
"ERG28"	"ERG28"	-2.83731396347921	10.2881958719175	-10.4080793473417	9.56797337148874e-05	0.00950673834191122	2.20959320096725
"TIF4631"	"TIF4631"	2.60605066556553	10.0305143153155	10.2036177450919	0.000105902185207411	0.00992723074207814	2.10915725152019
"ACL4"	"ACL4"	-2.93697344570573	9.59044541805468	-10.1662917379641	0.00010790468197911	0.00992723074207814	2.09129409893256
"MNN2"	"MNN2"	-2.4120042371993	10.514473232453	-10.0588472450749	0.000113923105069736	0.0101066068926152	2.03792328793747
