"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TUB3","TUB3",4.45518667175487,8.8565580834352,21.9114157113922,1.96053825913631e-06,0.00480934360389596,5.33948031978433
"GPC1","GPC1",3.54358991969392,9.55854508045242,19.0644291054207,4.08761990420213e-06,0.00480934360389596,4.90904489232406
"RSM26","RSM26",-4.28917988743669,9.48462149400499,-17.833978085571,5.80838599504343e-06,0.00480934360389596,4.67939104871794
"SAS10","SAS10",3.11185613907195,9.04475456626053,15.9909837681632,1.03009826006335e-05,0.00597881071508948,4.17442824839497
"CYB2","CYB2",-3.07880273751164,10.2837701755063,-15.5232842412344,1.20346431463154e-05,0.00597881071508948,4.05107703206299
"NIP1","NIP1",-2.87012109819302,10.3173144994558,-13.8857029182097,2.15494486882405e-05,0.00714392666079142,3.60934123012378
"KAP120","KAP120",2.64662305301779,9.9733195295499,13.6985469882989,2.31285706719232e-05,0.00714392666079142,3.50403999134866
"MRPL3","MRPL3",-2.6158080971248,9.96076915489799,-13.6145372710022,2.38816940715245e-05,0.00714392666079142,3.48415483994359
"ERG26","ERG26",-3.27629559481567,10.3296373289586,-13.4056325069033,2.58837922492443e-05,0.00714392666079142,3.40495354084523
"YJU3","YJU3",2.72885627587894,9.43738879663938,13.0237062116013,3.00820537302002e-05,0.00745355305869087,3.30491867720075
"FOL2","FOL2",-3.18717127513343,9.83608953204844,-12.5871344761279,3.5907581938374e-05,0.00745355305869087,3.13047867108086
"RVS161","RVS161",-2.49661424738773,9.84150948862019,-12.5803927336991,3.60075026989897e-05,0.00745355305869087,3.12738744633582
"SUI3","SUI3",-2.77647730484829,9.66629855888349,-12.0779842055928,4.44723212824007e-05,0.00753378147572767,2.93760842036857
"FSF1","FSF1",2.99729765070353,9.74463412357353,12.0061278220483,4.58666345588636e-05,0.00753378147572767,2.91654942995558
"PMT4","PMT4",2.41517306712841,9.70310254027672,12.0063224075597,4.58627896389727e-05,0.00753378147572767,2.91181174067514
"MSF1","MSF1",-2.7145060518275,9.89883784368242,-11.8759349162874,4.85267727905164e-05,0.00753378147572767,2.84942019607915
"NUP60","NUP60",2.41410420378054,9.52544620220502,11.2489187726869,6.41998693963519e-05,0.00849729819949972,2.59400334122395
"TRS33","TRS33",-2.56738740367368,9.37596648423686,-10.9790031239189,7.27468980750632e-05,0.00849729819949972,2.47624791323657
"KRI1","KRI1",2.64797787488656,9.05026058511693,10.9708583765286,7.30250012096724e-05,0.00849729819949972,2.47571377443112
"SVP26","SVP26",2.60536431213742,9.25970593319719,10.9489530230483,7.37792098311348e-05,0.00849729819949972,2.46513325559607
"KRE33","KRE33",2.15400734620981,9.09523750100815,10.9164531710424,7.49151992401129e-05,0.00849729819949972,2.4484950497676
"TMT1","TMT1",-2.32115162159916,9.62540173687593,-10.9050590276067,7.53183452772026e-05,0.00849729819949972,2.4407429149683
