Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
AAC1			1928.02				478.463	398.915
AAC3								49.9401
AAD16		1609.17	906.472	799.685		565.242	1212.07	1019.57
AAH1		2859.34	2044.85	23319.4		3051.09	3871.52	1329.03
AAP1		1741.22	2869.18	10926.2		3335.6	2361.07	2384.89
AAT1		707.424						
AAT2		8220.73	9422.84	40292.8	162038	15026.9	9730.38	9289.96
ABD1		334.087				1958.04		760.742
ABF1		1094.7	310.434			1182.03	825.46	804.377
ABF2		6935.69	6490.73				5914.37	5679.53
ABP1		2997.25	5492.44	20443.2	29550.8	4957.34	2574.4	5655.32
ABP140		4567.49	2177.11	13564.8		6002.11	4983.81	1257.26
ABZ1		1675.98	1470.57	6689.92		1171.53	3040.93	1203.93
ABZ2		448.011	943.233	4391.59		844.954	476.736	1064.93
ACB1		30175.9	70057.4	271000	9781.92	35740.6	47154.1	43248
ACC1		40893.1	45036.1	107422	317412	63060.2	39810.4	40860.2
ACF4								
ACH1		8203.73	8008.23	21811.8	37352.6	8671.48	7699.76	4929.85
ACL4		739.067	634.888	2739.59		2306.5	1267.31	
ACO1		68753.1	70430.5	308720	240696	80198.7	63614	43729.3
ACO2		5677.29	4762.25	4423.3		4645.93	2481.52	3840.66
ACP1		2762.49	3463.67	42268.4			3334.46	4267.54
ACS2		17610.8	9028.94	32648.7	50337.1	31169.9	13868.5	12215.1
ACT1		21478.8	27261.5	80923.5	96369.2	25238.8	30656.9	38008.2
ADA2								610.901
ADD66		354.385	756.582				672.981	666.361
ADE1		1006.75	885.442			538.625	2309.22	494.682
ADE12		8593.34	11119.2	14753.4	39382	12920.7	17548.6	9054.52
ADE13		8863.19	14200.7	30278.3	52989.4	25306.2	17930.4	9566.55
ADE16		4504.75	5972.72	21238.5	8813.9	8401.32	4761.09	2898.46
ADE17		3592.36	4696.47	13594.7	110981	12419.4	13024.7	12049.2
ADE2		6916.57	6648.68	11046.9	159395	23532.9	12003.8	9145.93
ADE3		26989.8	27060.1	56674.1	89549.8	39359.6	25662.1	23449.1
ADE4		2440.28	3537.4	11830.2		3012.46	4819.86	4223.85
ADE57		6043.68	7862.76	24895.9	44759.3	18391	10956	8448.11
ADE6		8115.77	9791.14	34348.1	34696.3	16656.2	10916.5	8765.3
ADE8		656.364	602.356	12211.2	14950.1	1964.28	1237.68	652.623
ADH1		54835.4	83084.6	84697.8	139288	42568.8	40640.1	67524.1
ADH2				19117.8		2378.15		
ADH3		4498.01	4300.98	5375.06		5311.53	4555.96	2671.84
ADH4		6801.65	9932.85	23253.8	47574.6	77688.2	23914.8	44255.6
ADH5		1398.91	1774.15	737.39		3631.82	2466.6	1219.46
ADH6		3220.63	4713.71	13405	22465.4	4744.4	2354.04	2540.08
ADI1		1406.54	1960.25	1798.4		2523.34	1464.88	2439.14
ADK1		21559.7	19440.9	38170.3	151660	12247.2	21946.2	22941
