wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YAL069W	0	0	0	0	0	0	0	0	0	0
YAL068W-A	0	0	0	0	0	0	0	0	0	0
YAL068C	-1.32670911365739	-1.2541550718321	-1.23271107243763	-1.24223356824455	-1.23428005557815	-1.33249965834309	-1.32600139998717	-1.32997812604142	-1.3298104991949	-1.33498409312913
YAL067W-A	0.0922568412846006	0.214339002622535	0.0123346593473228	0.163580852035022	0.00987751850442711	0.327251209643157	0.00796893953095518	0.0860476801806206	0.00158984097810198	-0.00775856227988857
YAL067C	7.29532988213498	6.92211682373204	6.60818059695606	6.12190592231765	6.16373259599108	6.18423523999659	6.38428572052571	7.28098837539845	6.14951162062535	7.66530295007891
YAL066W	0.998383750969035	0.636515072794649	0.617924238013877	0.51443851900816	0.532372339871803	0.750869535243597	0.691810105058291	0.520972539366792	0.601933364675793	0.588193825770301
YAL065C	3.07847968665165	3.21770518979764	3.28633564701731	3.24673469723729	3.31587029436567	3.16767812068757	3.50150675374967	3.10081967765214	3.14634130966136	3.41056187515379
YAL064W-B	4.0699269385915	4.23068999792783	4.30832102286682	4.17682526914608	4.31733360937184	4.32599912519144	4.07672404484341	4.23319853235663	4.15507245182663	3.90164339179672
YAL064C-A	5.53917352585749	5.43076059923555	5.38520018056184	5.31391966195339	5.36602704266067	5.39857773199744	5.27182230605995	5.39011946034331	5.47234484145939	5.46528466962986
YAL064W	2.31259974253572	2.43745821682601	2.21382992838252	2.04127688173818	2.08023555813063	2.16196072829934	2.13740707264026	2.40158227613562	2.17739537826765	2.1474448673184
YAL063C-A	2.59531203021777	2.26838406494347	2.1471878983885	2.4997624255502	2.20429044158017	2.22680400116685	2.54729559435744	2.76576774063269	2.62307491142252	2.43249787391853
YAL063C	8.13662361860713	8.03890359430306	8.05817111366406	7.986213845576	8.09360760351589	8.01174159727215	7.96724885295843	7.82661802575499	7.84097979852446	7.82907038589732
YAL062W	7.58785135846017	7.56177665137999	7.46593596118679	7.77184605370289	7.65810074954989	7.61764083666103	7.60511594757312	7.74199129859897	7.6205653235409	7.53832531730677
YAL061W	7.77798651929975	7.73724064194005	7.68448338726936	7.81352009019496	7.63652716925924	7.70598652283513	7.29077906940157	7.47160346459628	7.46209295988713	7.71928933684874
YAL060W	11.7006848079246	11.8403986095254	11.6316810941698	11.9457806911791	11.8887262416773	11.7966714230677	11.6662110879904	11.6632088278738	11.7769269917406	11.7203114525644
YAL059C-A	-2.16337061934745	-2.09023491102186	-2.15990405548067	-2.16942655128758	-2.16147303862118	-2.16916116403315	-2.16266290567723	-2.16663963173148	-2.16647200488497	-2.17164559881919
YAL059W	5.32314537294019	5.35722185013231	5.39638213452766	5.40612861069128	5.43770867975444	5.49723566130246	5.68156036323702	5.42838855204448	5.40323354274486	5.28438791037814
YAL058W	6.80009753432861	7.06464323126142	6.97012048237386	7.06545739466385	7.04916451756074	7.0053202153303	6.92097429873863	6.95064285121972	7.13963865212141	7.05930868071536
YAL056C-A	-0.113315909724409	0.0193456291000936	-0.108166535904509	0.128911776492006	0.230478538661024	-0.122643979363196	-0.112238913652071	-0.118467065119414	-0.118195758210363	-0.0424180246828104
YAL056W	9.35704777370898	9.35259753604531	9.38848281153803	9.24285653089339	9.24615654769342	9.24780486702105	9.19419057708305	9.06395822831663	9.05558770491084	9.0660697653077
YAL055W	7.27839385861905	7.30404566069478	7.19407421274601	7.47990302652121	7.60085197026509	7.42590358320354	7.64254319427011	7.25269209948764	7.2768301655604	7.30335015536658
YAL054C	8.44921385105646	8.68887247058142	8.50147145381464	8.35823018131749	8.40100774660382	8.40640128353019	8.24812308166009	8.56983650130851	8.55878757252577	8.54771559423631
YAL053W	9.83539238139251	9.91736940766984	9.90295079284568	9.96253876090262	9.88979034099209	9.91621100428997	9.84180474243185	10.2382346606264	10.1825853305447	10.0326589976452
YAL051W	8.54382425829817	8.45351831222117	8.43337425478517	8.38358934971942	8.31987454770734	8.40229682078448	8.33803375318781	8.33643833249354	8.34088943705358	8.39150650559736
YAL049C	9.83551110032729	9.80119014688799	9.79873894775625	9.94822470617169	9.91297355519704	9.88653690341198	9.82715800992561	9.71131161626369	9.66279665406924	9.6022677434749
YAL048C	7.54068849333309	7.71849377084559	7.66389465416183	7.36150459162985	7.28387706530096	7.41401878017189	7.20285410588512	7.46048339344634	7.41360299083978	7.58679849861866
YAL047W-A	0	0	0	0	0	0	0	0	0	0
YAL047C	7.16151257498195	6.99266249429102	6.97962617253037	6.82985187357413	6.7386778168234	6.90640776529988	6.77740748610365	6.79957385251641	6.86472273265082	6.90086665807582
YAL046C	6.84423960663956	6.75232382561688	6.69055354396485	6.80342174324643	6.85346058632725	6.83869961982873	6.67614800768374	6.79260903081072	6.95271663164172	6.71303928687339
YAL045C	-1.23617847894371	-1.25415618742049	-1.3232433924299	-1.33276588823682	-1.32481237557041	-1.33250050098238	-1.23547076527349	-1.23944749132774	-1.3298113418342	-1.33498493576842
YAL044W-A	4.34569678223344	4.14168110796937	3.97542497149661	4.34278602290623	4.18027044855429	4.32344124444042	4.1092367769309	4.09780441761774	3.85085358093356	4.01901730783807
YAL044C	11.0395419717004	10.9927668723627	10.9572679968681	11.3273301926321	11.2844711843022	11.0068987097342	11.0582924101236	10.8876201730816	10.7558427899623	10.6100669386457
YAL043C	8.27549984108981	8.29239391518544	8.21776985566411	8.24047113426407	8.22792716282961	8.12216666347416	8.06630037062781	8.31004866154208	8.2455545961361	8.28953505282795
YAL042C-A	-1.88388488369084	-1.81074917536525	-1.88041831982405	-1.88994081563097	-1.79145582561159	-1.88967542837653	-1.88317717002062	-1.88715389607487	-1.88698626922835	-1.89215986316257
YAL042W	9.10624989434559	9.13838000464334	9.28123425271483	9.30607703985837	9.38115096929299	9.26217098166194	9.31497120871676	9.25703799650458	9.27139247630087	9.16348578532613
YAL041W	8.77072052127861	8.8167132710446	8.83741505310856	8.65734642367932	8.59198123579249	8.65952305726631	8.57580440997339	8.71312979510744	8.761976458854	8.77826757232003
YAL040C	7.94873996395416	8.10326765725809	7.9202585126423	7.9955716613213	7.97695298007269	7.97072717639824	7.95501244539558	8.50980856332061	8.40493040154684	8.4580181285835
YAL039C	9.00382240893917	9.04943269790063	9.07230326074608	9.4627162408763	9.50957301345321	9.35878097462336	9.39689817678689	9.27497295615564	9.22711912690846	9.07996736571884
YAL038W	11.5997529034765	11.6514811235566	11.6286744853219	11.5132766584352	11.7081340294305	11.4290168033736	11.5931237772387	11.8464241320108	11.7934328102831	11.736205892573
YAL037C-B	6.683447793495	6.56770771841773	6.43227306098534	6.93419426677751	7.11943677805522	7.05258773209654	7.29070971627725	6.95944080857266	6.9312912858765	6.92625001419957
YAL037C-A	2.00548147224556	1.79904904090043	1.95531557436861	2.37446866033635	2.37733582603076	2.03881297419663	2.25483558280252	2.39522574785331	2.17316749858195	1.9650730254576
YAL037W	6.89168968553859	6.75670437140657	6.554246102923	6.74203298673582	6.70407461300048	6.58372499360975	6.57755476866053	6.58587830887558	6.42309418965483	6.29820204059069
YAL036C	8.00646261052687	8.09848719998078	8.22063444709826	8.01941630161759	8.17994605354701	8.03783684003787	8.05275347878779	8.23311043701067	8.27292070793385	8.09951139009337
YAL035W	11.830721391824	12.0451175664857	12.3938997348567	12.4130392501765	12.6855049112622	12.4193163784185	12.7733627480884	12.3271471978921	12.4323617667583	12.421408316188
YAL034C-B	2.1358154537237	1.98355484419549	2.27673432214772	2.330255775924	2.32644376876344	2.33208522158124	2.48580695271512	2.17847015848343	1.99523433652733	2.0914816320665
YAL034W-A	6.15254377750667	6.12167359207059	6.32569545657639	6.10317114926724	6.26033510546852	6.07957408765082	6.42966100228936	6.2657775139381	6.34499323564402	6.33476688590791
YAL034C	7.7380552268244	7.70861834264812	7.62761937528356	7.91198491326772	7.78435905505142	7.77708748686743	7.67550805607109	8.04867494756355	8.06749492679918	8.40420012559123
YAL033W	6.09325117149013	6.21635491466148	6.25512766042599	6.40458921545418	6.36678529181174	6.23924307297309	6.516400802777	6.40231073915337	6.40468186463973	6.33242916237498
YAL032C	7.77088880604416	7.71365217982445	7.7358975764001	7.67268360309193	7.46987283533332	7.55956478444061	7.37069115029688	7.48294326850225	7.48897711517933	7.37493336774804
YAL031W-A	1.61428549444136	1.64298501549448	1.56129191159116	1.51836560415158	1.41251957646087	1.31242676239109	1.47943245606203	1.24875086332369	1.32213465218551	1.30319133936675
YAL031C	7.9373667091628	7.8640337553219	7.80526196139855	7.72103018939198	7.60314350016509	7.63530020805324	7.50596752829901	7.66322488444481	7.80730213896253	7.90457914799422
YAL030W	8.56476184483551	8.59569170723812	8.59079640396037	8.78468567220361	8.89716477153647	8.80227716158964	8.75967180377729	8.60941132502541	8.58532079183994	8.53486791201631
YAL029C	9.95049928121617	9.94565354290489	10.02145387885	9.91673124153022	9.82708561398938	9.92389124695985	9.89329830257507	9.82138746881003	9.76703075328363	9.7887492083084
YAL028W	8.17828857479604	8.12598763752266	7.96247443753947	8.16797199904445	7.85547321245267	8.10802229771804	7.77554477609137	7.75073309357878	7.67797026693724	7.91756844804419
YAL027W	7.17808951309237	7.03720513437197	7.18156448824865	7.14463537815605	7.2046382290756	7.20776789519137	7.13342361566964	7.30084379133527	7.3033214825289	7.3087911796756
YAL026C-A	5.06902362639362	4.95378587994244	4.54106924012868	4.49455993677909	4.31751686530607	4.43247927724488	4.27753452700772	3.99952164671081	3.8632114508769	3.89600347484632
YAL026C	9.80303920090888	9.76489544403954	9.52603122534939	9.08466709819441	8.9188066091991	8.98471938012196	8.84512716632962	8.8168971566408	8.80201251828095	8.90761116315517
YAL025C	7.84038152273547	7.99800784614932	8.42828250686467	7.85758230450714	8.03600803780391	8.10374002713481	8.21379847333257	8.08146961725238	8.32090850078296	8.0477890931039
YAL024C	6.19307529836245	5.91838088206327	5.98982627393969	5.9773578027405	6.07721531261166	6.09754621640488	6.31039359039886	6.29127843687859	6.0520371719622	6.32813504893067
YAL023C	9.6718083519523	9.64641200097354	9.70836301117176	9.60055188443316	9.74908559263775	9.65239524875408	9.74928172639694	10.0014158299256	9.99985219044612	10.0202071829046
YAL022C	8.16558239391211	8.13689962609208	8.14422411023179	8.13706562606115	8.17939692590662	8.06910981580104	7.93461436472912	8.07664184911902	8.04418468563171	7.95245023192224
YAL021C	8.70320421893597	8.7631989789012	8.8226014136072	8.56329431645064	8.68337736467823	8.65567256264721	8.58603228851999	8.64939038843961	8.76096454372651	8.73283571011617
YAL020C	6.54236562063538	6.6809669789212	6.6618894589297	6.83081363325026	7.14709847368654	6.82468210220823	6.60329677750949	6.59256772586955	6.45777518180066	6.46724121774343
YAL019W-A	0.260375051463129	0.301620122585566	0.434477090238891	0.491295578333072	0.430917757981469	0.248897184031797	0.345459534883299	0.418558869822283	0.25436133783366	0.405617627504891
YAL019W	8.2189707371307	8.27000114682333	8.32619083090917	8.09007069727707	8.14525371853935	8.17027754767478	8.07767085359475	8.22664377780727	8.07512134169968	8.06167183110438
YAL018C	2.12924622869621	2.03818530441295	2.2706138045896	2.15833632621064	2.2009502088497	2.0390897140558	2.19473850387185	2.60711303163364	2.4558472891612	2.70212096828213
YAL017W	9.34873022569193	9.35311662945465	9.23402820542148	9.35187034066765	9.2444592507342	9.2658283514516	9.23715046489052	9.09628455408913	9.17822457790357	9.37302185912485
YAL016C-B	4.29666683588207	4.36061894060954	4.1385743360498	4.34406021164526	4.06105088711382	4.45452993407274	4.14020993082646	3.94952844134773	3.91896167757945	3.74304166953443
YAL016C-A	1.44332076293514	1.43462547130744	1.3829825010358	1.34919450014696	1.52190854149886	1.35018789064277	1.37358562136714	1.6350489195174	1.50091527134015	1.85441626226962
YAL016W	9.97585665765445	9.93279258217581	9.82298933594846	10.0847474159282	9.98107106324901	10.002783404521	9.96198282853489	9.90472382906741	9.83062856064791	9.9416509131187
YAL015C	9.61457907758268	9.5914320991091	9.70472744787402	9.56850645495297	9.54246390020957	9.50265011272248	9.41871954800584	9.15028953520052	9.22570469262252	9.13330613257059
YAL014C	8.03770021367029	7.93474381068058	7.98386064104281	7.92452357986715	7.86400139308752	7.76703739296706	7.74087648499488	7.81042600880365	7.93411470583754	7.93121736086529
YAL013W	8.20029177594153	8.09613228810318	8.15103581010261	8.24358174549906	8.13060765928053	8.0474374371018	7.88537010629898	8.10975497422175	8.02025653155188	8.03352970274377
YAL012W	10.6576175133078	10.6050130573291	10.6120909267105	10.3939636014311	10.5808860643903	10.4286287254088	10.4933190443127	11.2626309059032	10.8083658136109	11.2228660405799
YAL011W	8.21952666069238	8.30518145086025	8.47535652144483	8.57600487913731	8.68482077106684	8.27139854874626	8.440630952469	8.28865598238628	8.33816602261671	8.36967597986328
YAL010C	6.97678334834179	7.07103714779901	6.98850581592848	6.93410165444177	7.00797883921519	7.0682012593371	6.99189255665056	7.20051546468565	7.10180199013057	7.31440906441072
YAL009W	7.47825419200739	7.4651667996009	7.4034380788635	7.55173102421158	7.43743423416931	7.5398917176744	7.46112585624075	7.29006886879662	7.37162145432628	7.32433720362413
YAL008W	7.74140045630267	7.60351417494141	7.61964198525584	7.94574878168458	7.86831142203156	7.93521375850652	8.00643946399773	7.85489564108514	7.80844713719335	7.88353150068408
YAL007C	8.08741158260981	8.07042031667184	8.01290264072612	8.1121716262819	8.22403347310544	8.23664503305901	8.30708036532746	8.32059277842446	8.1974413035945	8.19805489851502
YAL005C	13.3778091092389	13.4348074168201	13.199146836503	13.3101969175655	13.4204843777911	13.3435089296892	13.2552164101579	13.3167880278666	13.4914049994352	13.4859000502722
YAL004W	0	0	0	0	0	0	0	0	0	0
YAL003W	11.1259461792924	11.150600713028	11.1959466988816	11.1392590938623	11.2435055666907	11.2056603718982	11.1530315088263	11.3976059471079	11.4867422808916	11.4381127851994
YAL002W	8.14848114829104	8.12774662687699	8.04202933641533	7.90458920063376	7.95823736117685	8.05001607073087	8.05387663588768	7.91547738118943	7.93450825887948	7.92812135527732
YAL001C	9.48255515468484	9.43148559181548	9.41477005678225	9.37541218088214	9.30000026462278	9.34885666399857	9.3032254636167	8.95148649089604	9.0253138579266	9.09450750528397
YAR002W	8.57821468913706	8.59865584093796	8.72053355976961	8.6393869438495	8.68678232900052	8.72525791531786	8.77053928979821	8.62819235742499	8.70279706695302	8.70146710840397
YAR002C-A	8.8145636294069	8.78870244537945	8.84354483741302	8.72855731335964	8.94772262993132	8.90931620202708	9.01675127520273	9.14711989573809	9.10846284650123	9.02753779026363
