Geneid	Chr	Start	End	Strand	Length	wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YAL069W	chrI	335	649	+	315	0	0	0	0	0	0	0	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0	0	0	0	0	0	0	0	0
YAL068C	chrI	1807	2169	-	363	0	1	1	1	1	0	0	0	0	0
YAL067W-A	chrI	2480	2707	+	228	1	3	0	2	0	4	0	1	0	0
YAL067C	chrI	7235	9016	-	1782	223	199	78	35	32	41	55	235	35	413
YAL066W	chrI	10091	10399	+	309	6	2	1	0	0	3	2	0	1	1
YAL065C	chrI	11565	11951	-	387	5	12	9	10	10	8	15	6	7	15
YAL064W-B	chrI	12046	12426	+	381	13	27	20	19	21	25	13	20	17	10
YAL064C-A	chrI	13363	13743	-	381	49	60	35	38	35	44	30	41	47	52
YAL064W	chrI	21566	21850	+	285	6	11	4	2	2	4	3	8	4	4
YAL063C-A	chrI	22395	22685	-	291	8	4	0	7	1	2	7	12	9	6
YAL063C	chrI	24000	27968	-	3969	294	374	243	269	265	278	225	196	200	220
YAL062W	chrI	31567	32940	+	1374	173	244	131	261	185	206	175	235	195	192
YAL061W	chrI	33448	34701	+	1254	228	315	184	274	177	233	100	152	149	251
YAL060W	chrI	35155	36303	+	1149	2916	5276	2424	4770	3693	3830	2721	2957	3505	3608
YAL059C-A	chrI	36496	36918	-	423	0	1	0	0	0	0	0	0	0	0
YAL059W	chrI	36509	37147	+	639	33	52	35	44	39	51	59	43	41	37
YAL058W	chrI	37464	38972	+	1509	84	191	104	149	122	135	102	117	156	155
YAL056C-A	chrI	38696	39046	-	351	0	2	0	3	4	0	0	0	0	1
YAL056W	chrI	39259	41901	+	2643	672	980	651	650	548	651	520	462	454	518
YAL055W	chrI	42177	42719	+	543	131	201	105	205	205	188	223	135	140	164
YAL054C	chrI	42881	45022	-	2142	316	658	317	313	281	336	224	407	399	440
YAL053W	chrI	45899	48250	+	2352	749	1252	772	1044	783	967	745	1456	1344	1217
YAL051W	chrI	48564	51707	+	3144	387	498	305	349	265	357	280	305	306	371
YAL049C	chrI	51855	52595	-	741	868	1211	761	1168	932	1063	844	772	712	723
YAL048C	chrI	52801	54789	-	1989	183	346	203	158	116	171	103	174	161	235
YAL047W-A	chrI	54584	54913	+	330	0	0	0	0	0	0	0	0	0	0
YAL047C	chrI	54989	56857	-	1869	163	187	116	113	81	127	89	101	112	133
YAL046C	chrI	57029	57385	-	357	111	141	80	119	108	125	83	110	140	108
YAL045C	chrI	57488	57796	-	309	1	1	0	0	0	0	1	1	0	0
YAL044W-A	chrI	57518	57850	+	333	24	24	10	27	17	26	15	16	8	15
YAL044C	chrI	57950	58462	-	513	2016	2762	1651	3442	2727	2183	2040	1720	1382	1196
YAL043C	chrI	58695	61052	-	2358	297	447	252	322	265	266	210	336	304	364
YAL042C-A	chrI	61231	61608	-	378	0	1	0	0	1	0	0	0	0	0
YAL042W	chrI	61316	62563	+	1248	449	695	546	699	654	651	610	611	622	591
YAL041W	chrI	62840	65404	+	2565	421	661	430	405	306	404	306	415	445	511
YAL040C	chrI	65778	67520	-	1743	194	366	171	240	195	229	193	477	413	497
YAL039C	chrI	68716	69525	-	810	380	604	395	877	785	753	689	630	584	519
YAL038W	chrI	71786	73288	+	1503	2747	4363	2659	2743	3098	2376	2677	4228	3911	4040
YAL037C-B	chrI	72326	73300	-	975	77	92	42	134	148	159	192	131	125	139
YAL037C-A	chrI	73426	73518	-	93	2	0	1	9	8	3	6	9	5	2
YAL037W	chrI	74020	74823	+	804	137	165	76	126	100	98	84	93	70	62
